,K,n,s,exp,det,rot,roc,cen
0,-261.0531324,-0.411385745,0.090604655,모든 화약,모든 뇌관,퇴적암,사암,모든 심발
0,-135.0209288,-0.910310069,-0.22587476,모든 화약,모든 뇌관,퇴적암,사암,Cylinder-cut
0,4.624435114,-0.669196549,0.141716022,모든 화약,모든 뇌관,퇴적암,사암,TBM 선굴착
0,183.3593486,-0.387533588,0.343351703,모든 화약,모든 뇌관,퇴적암,사암,V-CUT
0,373.8479426,-1.289235501,-0.297284931,모든 화약,모든 뇌관,퇴적암,사암,라인 드릴링
0,533.2910704,-1.580268235,-0.128155085,모든 화약,모든 뇌관,퇴적암,사암,분착식 다단발파
0,480.9294636,-1.335646133,0.115219512,모든 화약,모든 뇌관,퇴적암,사암,선대구경
0,392.7866826,-1.026578252,0.332477021,모든 화약,모든 뇌관,퇴적암,사암,수직구
0,-483.6751176,-0.21025261,-0.010368,모든 화약,모든 뇌관,퇴적암,석회암,모든 심발
0,-356.6064458,-0.126332834,-0.23169483,모든 화약,모든 뇌관,퇴적암,석회암,Cylinder-cut
0,-248.9889426,0.441832862,0.112688071,모든 화약,모든 뇌관,퇴적암,석회암,TBM 선굴착
0,-38.64226322,0.283396434,0.270731416,모든 화약,모든 뇌관,퇴적암,석회암,V-CUT
0,179.1143773,-0.791319684,-0.450085238,모든 화약,모든 뇌관,퇴적암,석회암,라인 드릴링
0,545.6332589,-1.395653864,-0.253182791,모든 화약,모든 뇌관,퇴적암,석회암,분착식 다단발파
0,537.3997517,-1.165643536,0.03263538,모든 화약,모든 뇌관,퇴적암,석회암,선대구경
0,475.9838376,-0.925644459,0.267586531,모든 화약,모든 뇌관,퇴적암,석회암,수직구
0,-665.4784106,-0.224960422,-0.007082,모든 화약,모든 뇌관,퇴적암,섬록암,모든 심발
0,-499.3259026,0.175737967,-0.108522919,모든 화약,모든 뇌관,퇴적암,섬록암,Cylinder-cut
0,-420.1037005,1.101232721,0.329448797,모든 화약,모든 뇌관,퇴적암,섬록암,TBM 선굴착
0,-169.0248579,0.624611895,0.067451956,모든 화약,모든 뇌관,퇴적암,섬록암,V-CUT
0,38.79432662,-0.511065377,-0.510589574,모든 화약,모든 뇌관,퇴적암,섬록암,라인 드릴링
0,427.2240123,-1.378515765,-0.620088362,모든 화약,모든 뇌관,퇴적암,섬록암,분착식 다단발파
0,532.0216834,-1.206123333,-0.176997331,모든 화약,모든 뇌관,퇴적암,섬록암,선대구경
0,412.0212615,-0.710139754,0.170613186,모든 화약,모든 뇌관,퇴적암,섬록암,수직구
0,-827.7514701,-0.265712698,-0.114159227,모든 화약,모든 뇌관,퇴적암,셰일,모든 심발
0,-669.9884611,0.39748981,-0.065201963,모든 화약,모든 뇌관,퇴적암,셰일,Cylinder-cut
0,-558.7325374,1.340718829,0.292005098,모든 화약,모든 뇌관,퇴적암,셰일,TBM 선굴착
0,-373.2910451,0.755834188,-0.113035936,모든 화약,모든 뇌관,퇴적암,셰일,V-CUT
0,-81.16184483,-0.407079452,-0.603586215,모든 화약,모든 뇌관,퇴적암,셰일,라인 드릴링
0,311.1155712,-1.550092053,-0.888306501,모든 화약,모든 뇌관,퇴적암,셰일,분착식 다단발파
0,624.3013067,-1.659589373,-0.547420995,모든 화약,모든 뇌관,퇴적암,셰일,선대구경
0,483.2439441,-0.98817249,-0.130308335,모든 화약,모든 뇌관,퇴적암,셰일,수직구
0,-1035.153048,0.143806276,0.000299507,모든 화약,모든 뇌관,퇴적암,안산암,모든 심발
0,-957.1071617,1.002961456,0.17399146,모든 화약,모든 뇌관,퇴적암,안산암,Cylinder-cut
0,-775.2283056,1.600664562,0.374146101,모든 화약,모든 뇌관,퇴적암,안산암,TBM 선굴착
0,-555.6743313,0.781333409,-0.191787108,모든 화약,모든 뇌관,퇴적암,안산암,V-CUT
0,-289.3301495,-0.281085532,-0.840201954,모든 화약,모든 뇌관,퇴적암,안산암,라인 드릴링
0,143.1249991,-1.551172786,-1.066405884,모든 화약,모든 뇌관,퇴적암,안산암,분착식 다단발파
0,619.225233,-2.073161167,-0.905775365,모든 화약,모든 뇌관,퇴적암,안산암,선대구경
0,523.9116943,-1.27209188,-0.387435392,모든 화약,모든 뇌관,퇴적암,안산암,수직구
0,-1212.090223,1.00084991,0.520019969,모든 화약,모든 뇌관,퇴적암,응회암,모든 심발
0,-1146.694417,1.670279614,0.687565878,모든 화약,모든 뇌관,퇴적암,응회암,Cylinder-cut
0,-959.8818402,1.828871684,0.52658408,모든 화약,모든 뇌관,퇴적암,응회암,TBM 선굴착
0,-754.6788912,0.777808044,-0.288257986,모든 화약,모든 뇌관,퇴적암,응회암,V-CUT
0,-489.9707435,-0.066391017,-1.009673748,모든 화약,모든 뇌관,퇴적암,응회암,라인 드릴링
0,-102.4081725,-1.130176725,-1.144190848,모든 화약,모든 뇌관,퇴적암,응회암,분착식 다단발파
0,355.8135276,-1.999847035,-1.126036816,모든 화약,모든 뇌관,퇴적암,응회암,선대구경
0,489.9176069,-1.74252596,-0.794913324,모든 화약,모든 뇌관,퇴적암,응회암,수직구
