,File Name,K,n,s,# of elem
1391,tun_1_2_a_2_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1392,tun_1_2_a_3_0.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1399,tun_1_2_a_3_a.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1408,tun_1_2_a_5_0.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1415,tun_1_2_a_5_a.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1440,tun_1_2_a_9_0.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1447,tun_1_2_a_9_a.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1448,tun_1_2_a_a_0.csv,53.81301477086537,-1.5106894996963087,0.3472609872099871,145
1450,tun_1_2_a_a_2.csv,16.42023587358397,-1.276771488694568,0.20288640063341634,5
1453,tun_1_2_a_a_5.csv,47.091174560802045,-1.4639237483921563,0.3844394716024968,23
1455,tun_1_2_a_a_a.csv,49.779005458976606,-1.4929730686716727,0.3515521370137857,173
1456,tun_1_a_0_7_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
1458,tun_1_a_0_7_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
1463,tun_1_a_0_7_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
1472,tun_1_a_0_a_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
1474,tun_1_a_0_a_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
1479,tun_1_a_0_a_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
1488,tun_1_a_1_2_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1495,tun_1_a_1_2_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1512,tun_1_a_1_a_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1519,tun_1_a_1_a_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1528,tun_1_a_2_10_0.csv,104.69196683543315,-1.6693977960322948,0.32209002796233865,91
1530,tun_1_a_2_10_2.csv,5.288838054278081,-1.0264868694471316,0.3494389262164104,14
1533,tun_1_a_2_10_5.csv,24.377290674239543,-1.3659970847905847,0.39618191205192455,34
1535,tun_1_a_2_10_a.csv,39.23037568494531,-1.4674067983898142,0.3647735793168768,139
1536,tun_1_a_2_3_0.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1543,tun_1_a_2_3_a.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1544,tun_1_a_2_5_0.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1551,tun_1_a_2_5_a.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1552,tun_1_a_2_9_0.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1559,tun_1_a_2_9_a.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1560,tun_1_a_2_a_0.csv,59.48104936752847,-1.5252517192198807,0.3196555438358431,146
1562,tun_1_a_2_a_2.csv,5.288838054278081,-1.0264868694471316,0.3494389262164104,14
1563,tun_1_a_2_a_3.csv,60.276245778919304,-1.4081627362165703,0.4290867653227204,8
1565,tun_1_a_2_a_5.csv,24.377290674239543,-1.3659970847905847,0.39618191205192455,34
1567,tun_1_a_2_a_a.csv,36.56410970929204,-1.4274514815125883,0.3591731596128817,202
1576,tun_1_a_a_10_0.csv,104.69196683543315,-1.6693977960322948,0.32209002796233865,91
1578,tun_1_a_a_10_2.csv,5.288838054278081,-1.0264868694471316,0.3494389262164104,14
1581,tun_1_a_a_10_5.csv,24.377290674239543,-1.3659970847905847,0.39618191205192455,34
1583,tun_1_a_a_10_a.csv,39.23037568494531,-1.4674067983898142,0.3647735793168768,139
1592,tun_1_a_a_2_0.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1599,tun_1_a_a_2_a.csv,306.5841209631786,-2.1103980217572604,0.2681792159890576,7
1600,tun_1_a_a_3_0.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1607,tun_1_a_a_3_a.csv,27.541237493550803,-1.3602568028670101,0.1665732303219556,8
1616,tun_1_a_a_5_0.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1623,tun_1_a_a_5_a.csv,2.9015165427645715,-0.8891824433330874,0.21166532645567557,13
1632,tun_1_a_a_7_0.csv,124.67427588897687,-1.7378484566790187,0.08988796449000461,6
1634,tun_1_a_a_7_2.csv,31.641067646857106,-1.3216544410658417,0.22780838855176827,6
1639,tun_1_a_a_7_a.csv,119.74442598470425,-1.6932318337114631,0.18712797622049876,12
1648,tun_1_a_a_9_0.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1655,tun_1_a_a_9_a.csv,47.36980153554844,-1.4500946613649794,0.22545831304928157,6
1656,tun_1_a_a_a_0.csv,51.75134043383092,-1.5064598849387076,0.33721637931378196,159
1658,tun_1_a_a_a_2.csv,9.170316686843105,-1.1161851381080339,0.36384381530500204,20
1659,tun_1_a_a_a_3.csv,60.276245778919304,-1.4081627362165703,0.4290867653227204,8
1661,tun_1_a_a_a_5.csv,24.377290674239543,-1.3659970847905847,0.39618191205192455,34
1663,tun_1_a_a_a_a.csv,36.61552203461356,-1.4334303187325281,0.36443923868176603,221
1874,tun_2_1_0_7_2.csv,0.33305767463460667,-0.05253945861147729,0.6692006957431967,58
1878,tun_2_1_0_7_6.csv,28.299307057161275,-1.3945258224362163,0.27319650281121555,22
1879,tun_2_1_0_7_a.csv,14.729972516620892,-1.0950950537474797,0.5873428243665416,80
1890,tun_2_1_0_a_2.csv,0.33305767463460667,-0.05253945861147729,0.6692006957431967,58
