뇌관,암종,SR SD,CR SD,최대입자속도
비전기,편마암,107.48,76.0,0.013999999999999999
비전기,편마암,104.65,74.0,0.038
비전기,편마암,115.97,82.0,0.024
비전기,편마암,155.56,110.0,0.037000000000000005
비전기,편마암,152.74,108.0,0.022000000000000002
비전기,편마암,149.91,106.0,0.013999999999999999
비전기,편마암,147.08,104.0,0.019
비전기,편마암,183.85,130.0,0.025
비전기,편마암,181.02,128.0,0.019
비전기,편마암,178.19,126.0,0.011000000000000001
비전기,편마암,175.36,124.0,0.018000000000000002
비전기,편마암,186.68,132.0,0.018000000000000002
비전기,편마암,101.82,72.0,0.043
비전기,편마암,98.99,70.0,0.043
비전기,편마암,96.17,68.0,0.019
비전기,편마암,93.34,66.0,0.049
비전기,편마암,104.65,74.0,0.025
비전기,편마암,17.8,18.47,2.175
비전기,편마암,75.76,78.63,0.023
비전기,편마암,69.59,72.22,0.054000000000000006
비전기,편마암,16.1,16.71,1.9880000000000002
비전기,편마암,36.4,37.78,0.24600000000000002
비전기,편마암,47.76,49.57,0.132
비전기,편마암,76.92,79.84,0.168
비전기,편마암,84.61,87.82,0.07200000000000001
비전기,편마암,89.8,93.2,0.1
비전기,편마암,98.57,102.3,0.059000000000000004
비전기,편마암,138.73,143.98,0.042
비전기,편마암,35.36,42.17,0.40399999999999997
비전기,편마암,38.08,44.07,0.24600000000000002
비전기,편마암,48.33,51.36,0.256
비전기,편마암,33.76,40.2,0.467
비전기,편마암,44.02,49.08,0.368
비전기,편마암,41.25,49.2,0.302
비전기,편마암,44.54,51.54,0.14800000000000002
비전기,편마암,56.67,60.22,0.09699999999999999
비전기,편마암,39.69,47.26,0.363
비전기,편마암,51.24,57.12,0.263
비전기,편마암,47.14,56.23,0.177
비전기,편마암,50.99,59.01,0.154
비전기,편마암,65.0,69.07,0.16399999999999998
비전기,편마암,45.61,54.31,0.154
비전기,편마암,58.46,65.17,0.154
비전기,편마암,53.03,63.26,0.136
비전기,편마암,57.45,66.47,0.091
비전기,편마암,73.33,77.93,0.10099999999999999
비전기,편마암,51.53,61.36,0.132
비전기,편마암,65.67,73.22,0.083
비전기,편마암,58.93,70.29,0.079
비전기,편마암,63.9,73.94,0.069
비전기,편마암,81.67,86.78,0.064
비전기,편마암,57.46,68.42,0.087
비전기,편마암,72.89,81.26,0.069
비전기,편마암,176.78,210.86,0.032
비전기,편마암,193.0,223.32,0.038
비전기,편마암,248.33,263.89,0.024
비전기,편마암,175.93,209.48,0.044000000000000004
비전기,편마암,217.23,242.18,0.02
비전기,편마암,73.7,77.29,0.15
비전기,편마암,71.1,74.56,0.15
비전기,편마암,65.03,68.2,0.12
비전기,편마암,65.9,69.11,0.15
비전기,편마암,66.77,70.02,0.12
비전기,편마암,52.89,55.47,0.102
비전기,편마암,52.03,54.56,0.1
비전기,편마암,52.03,54.56,0.12
비전기,편마암,58.96,61.83,0.12
비전기,편마암,62.43,65.47,0.1
비전기,편마암,56.36,59.11,0.1
비전기,편마암,52.89,55.47,0.1
비전기,편마암,75.8,60.16,0.2
비전기,편마암,69.4,55.08,0.25
비전기,편마암,66.0,52.38,0.12
비전기,편마암,49.99,41.45,0.12
비전기,편마암,76.8,60.96,0.5
비전기,편마암,56.14,50.02,0.12
비전기,편마암,54.16,48.25,0.15
비전기,편마암,46.53,41.45,0.22
비전기,편마암,50.52,41.89,0.17
비전기,편마암,47.01,38.98,0.191
