화약,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,화성암,Cylinder-cut,115.0,84.73,0.040999999999999995
에멀젼C,화성암,Cylinder-cut,112.5,82.89,0.032
에멀젼C,화성암,Cylinder-cut,117.5,86.57,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,137.5,101.31,0.027000000000000003
에멀젼C,화성암,Cylinder-cut,135.0,99.47,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,140.0,103.15,0.024
에멀젼C,화성암,Cylinder-cut,212.5,156.57,0.019
에멀젼C,화성암,Cylinder-cut,210.0,154.73,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,215.0,158.41,0.024
에멀젼C,화성암,Cylinder-cut,80.0,63.5,0.051
에멀젼C,화성암,Cylinder-cut,78.0,61.91,0.151
에멀젼C,화성암,Cylinder-cut,82.0,65.08,0.081
에멀젼C,화성암,Cylinder-cut,110.0,87.31,0.021
에멀젼C,화성암,Cylinder-cut,108.0,85.72,0.051
에멀젼C,화성암,Cylinder-cut,112.0,88.89,0.033
에멀젼C,화성암,Cylinder-cut,140.0,111.12,0.016
에멀젼C,화성암,Cylinder-cut,138.0,109.53,0.037000000000000005
에멀젼C,화성암,Cylinder-cut,142.0,112.71,0.018000000000000002
에멀젼C,화성암,Cylinder-cut,170.0,134.93,0.019
에멀젼C,화성암,Cylinder-cut,168.0,133.34,0.028999999999999998
