화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,169.16,161.24,0.012
에멀젼C,전기,화성암,208.29,200.69,0.021
에멀젼C,전기,화성암,208.29,200.69,0.019
에멀젼C,전기,화성암,215.12,205.05,0.019
에멀젼C,전기,화성암,78.51,80.93,0.213
에멀젼C,전기,화성암,96.15,92.64,0.18899999999999997
에멀젼C,전기,화성암,99.3,94.66,0.175
에멀젼C,전기,화성암,124.1,119.57,0.061
에멀젼C,전기,화성암,124.1,119.57,0.069
에멀젼C,전기,화성암,101.33,104.45,0.091
에멀젼C,전기,화성암,27.9,27.29,0.616
에멀젼C,전기,화성암,21.54,22.21,0.5589999999999999
에멀젼C,전기,화성암,16.4,18.09,0.5329999999999999
에멀젼C,전기,화성암,27.9,27.29,0.319
에멀젼C,전기,화성암,21.54,22.21,0.33
에멀젼C,전기,화성암,16.4,18.09,0.36200000000000004
에멀젼C,전기,화성암,39.02,38.16,0.155
에멀젼C,전기,화성암,31.77,32.75,0.14400000000000002
에멀젼C,전기,화성암,25.19,27.79,0.099
에멀젼C,전기,화성암,62.43,61.06,0.094
에멀젼C,전기,화성암,52.31,53.92,0.068
에멀젼C,전기,화성암,42.26,46.61,0.071
에멀젼C,전기,화성암,77.72,76.01,0.09699999999999999
에멀젼C,전기,화성암,65.64,67.66,0.154
에멀젼C,전기,화성암,53.22,58.7,0.153
에멀젼C,전기,화성암,86.06,84.16,0.076
에멀젼C,전기,화성암,72.94,75.19,0.091
에멀젼C,전기,화성암,59.26,65.35,0.13
에멀젼C,전기,화성암,105.84,103.51,0.21
에멀젼C,전기,화성암,89.83,92.6,0.28800000000000003
에멀젼C,전기,화성암,73.12,80.65,0.195
에멀젼C,전기,화성암,217.34,212.55,0.078
에멀젼C,전기,화성암,185.5,191.22,0.042
에멀젼C,전기,화성암,151.38,166.96,0.042
에멀젼C,전기,화성암,274.1,268.07,0.059000000000000004
에멀젼C,전기,화성암,234.06,241.28,0.039
에멀젼C,전기,화성암,191.11,210.78,0.037000000000000005
에멀젼C,전기,화성암,16.44,15.2,1.16
에멀젼C,전기,화성암,19.6,16.64,1.54
에멀젼C,전기,화성암,19.8,17.64,1.6
에멀젼C,전기,화성암,34.15,31.58,0.094
에멀젼C,전기,화성암,42.46,36.05,0.14300000000000002
에멀젼C,전기,화성암,39.6,35.28,0.152
에멀젼C,전기,화성암,50.6,46.78,0.221
에멀젼C,전기,화성암,63.69,54.08,0.391
에멀젼C,전기,화성암,57.98,51.66,0.20800000000000002
에멀젼C,전기,화성암,63.25,58.48,0.251
에멀젼C,전기,화성암,80.02,67.95,0.314
에멀젼C,전기,화성암,72.12,64.26,0.341
에멀젼C,전기,화성암,75.89,70.18,0.14800000000000002
에멀젼C,전기,화성암,96.35,81.82,0.183
에멀젼C,전기,화성암,86.27,76.86,0.16399999999999998
에멀젼C,전기,화성암,88.54,81.87,0.825
에멀젼C,전기,화성암,112.68,95.68,0.10800000000000001
에멀젼C,전기,화성암,100.41,89.45,0.129
에멀젼C,전기,화성암,101.19,93.57,0.10800000000000001
에멀젼C,전기,화성암,129.01,109.55,0.098
에멀젼C,전기,화성암,114.55,102.05,0.11900000000000001
에멀젼C,전기,화성암,120.17,111.11,0.023
에멀젼C,전기,화성암,153.5,130.35,0.012
에멀젼C,전기,화성암,135.76,120.95,0.021
에멀젼C,전기,화성암,401.58,418.99,0.023
에멀젼C,전기,화성암,414.37,428.92,0.025
에멀젼C,전기,화성암,425.7,437.8,0.011000000000000001
에멀젼C,전기,화성암,427.97,440.44,0.021
에멀젼C,전기,화성암,425.98,440.15,0.013999999999999999
에멀젼C,전기,화성암,441.64,451.26,0.013999999999999999
에멀젼C,전기,화성암,424.67,440.17,0.016
에멀젼C,전기,화성암,438.54,450.49,0.023
에멀젼C,전기,화성암,434.42,448.44,0.023
에멀젼C,전기,화성암,433.8,448.79,0.042
에멀젼C,전기,화성암,439.08,453.26,0.016
에멀젼C,전기,화성암,436.66,452.29,0.02
에멀젼C,전기,화성암,454.42,465.27,0.027999999999999997
에멀젼C,전기,화성암,428.68,441.9,0.011000000000000001
에멀젼C,전기,화성암,406.36,456.62,0.012
에멀젼C,전기,화성암,535.06,549.72,0.011000000000000001
에멀젼C,전기,화성암,411.65,462.06,0.013000000000000001
에멀젼C,전기,화성암,437.97,481.93,0.038
에멀젼C,전기,화성암,499.69,526.48,0.012
