심발,SR SD,CR SD,최대입자속도
V-CUT,54.2,56.26,0.098
V-CUT,63.9,63.9,0.054000000000000006
V-CUT,62.2,62.2,0.057999999999999996
V-CUT,90.1,90.1,0.024
V-CUT,80.05,83.08,0.037000000000000005
V-CUT,80.95,84.01,0.026000000000000002
V-CUT,81.84,84.94,0.024
V-CUT,82.73,85.87,0.022000000000000002
V-CUT,91.7,91.7,0.025
V-CUT,119.9,119.9,0.012
V-CUT,107.69,111.77,0.013000000000000001
V-CUT,106.79,110.84,0.019
V-CUT,120.1,120.1,0.012
V-CUT,122.0,122.0,0.008
V-CUT,121.5,121.5,0.011000000000000001
V-CUT,149.7,149.7,0.012
V-CUT,133.63,138.69,0.013999999999999999
V-CUT,135.24,140.36,0.008
V-CUT,134.43,139.53,0.013000000000000001
V-CUT,149.9,149.9,0.013999999999999999
V-CUT,151.3,151.3,0.011000000000000001
V-CUT,147.87,158.21,0.02
V-CUT,169.05,172.4,0.017
V-CUT,154.71,161.63,0.019
V-CUT,155.41,162.36,0.021
V-CUT,146.32,156.55,0.023
V-CUT,195.35,199.22,0.016
V-CUT,186.81,195.16,0.015
V-CUT,181.2,189.3,0.015
V-CUT,212.17,211.28,0.02
V-CUT,210.1,210.1,0.015
V-CUT,45.72,50.77,0.126
V-CUT,49.56,53.03,0.11900000000000001
V-CUT,51.19,54.77,0.165
V-CUT,51.77,55.39,0.11199999999999999
V-CUT,60.25,61.44,0.098
V-CUT,89.57,95.83,0.025
V-CUT,91.28,97.67,0.037000000000000005
V-CUT,105.5,107.59,0.021
V-CUT,102.95,105.0,0.047
V-CUT,105.78,107.88,0.039
V-CUT,121.15,123.55,0.028999999999999998
V-CUT,126.15,128.65,0.027999999999999997
V-CUT,122.85,125.28,0.046
V-CUT,125.21,127.69,0.034
V-CUT,112.18,117.19,0.026000000000000002
V-CUT,122.07,130.6,0.035
V-CUT,141.61,144.42,0.032
V-CUT,140.48,143.26,0.034
V-CUT,143.97,146.82,0.035
V-CUT,128.93,134.69,0.054000000000000006
V-CUT,138.4,148.07,0.018000000000000002
V-CUT,195.38,186.23,0.02
V-CUT,159.99,163.17,0.039
V-CUT,152.7,159.52,0.035
V-CUT,152.61,159.43,0.035
V-CUT,29.41,31.81,0.509
V-CUT,30.52,33.0,0.321
V-CUT,28.07,30.35,0.336
V-CUT,28.86,31.21,0.325
V-CUT,31.68,32.65,0.369
V-CUT,42.45,45.91,0.245
V-CUT,49.39,50.91,0.209
V-CUT,49.3,50.82,0.237
V-CUT,46.23,48.9,0.16699999999999998
V-CUT,53.0,53.0,0.17300000000000001
V-CUT,81.34,83.85,0.141
V-CUT,88.8,88.8,0.10400000000000001
V-CUT,79.69,82.15,0.094
V-CUT,79.05,81.49,0.1
V-CUT,88.1,88.1,0.08800000000000001
V-CUT,29.83,31.55,0.679
V-CUT,32.68,33.69,0.6659999999999999
V-CUT,30.03,30.96,0.815
V-CUT,30.67,31.62,0.6859999999999999
V-CUT,34.0,34.0,0.688
V-CUT,14.06,14.49,1.6369999999999998
V-CUT,13.52,14.3,1.524
V-CUT,15.4,15.4,1.768
V-CUT,17.0,17.0,1.5319999999999998
V-CUT,16.0,16.0,1.695
V-CUT,95.18,102.94,0.053
V-CUT,110.27,113.68,0.054000000000000006
V-CUT,109.18,112.55,0.06
V-CUT,118.2,118.2,0.077
V-CUT,118.8,118.8,0.062
V-CUT,206.18,222.98,0.013999999999999999
V-CUT,206.26,223.07,0.013999999999999999
V-CUT,206.81,223.66,0.008
V-CUT,206.73,223.58,0.009000000000000001
V-CUT,241.91,249.37,0.011000000000000001
