K,n,s,# of elem,exp,det,rot,roc,cen
4.40806133,-1.590823774,0.316182764,640,0,1,1,8,0
4.862993396,-1.746005807,0.213727283,59,0,1,1,9,3
4.862993396,-1.746005807,0.213727283,59,0,1,1,9,0
3.394827509,-1.407043529,0.218694204,74,0,1,1,0,1
4.829717525,-1.699685,0.285783236,555,0,1,1,0,3
4.049397033,-1.399179565,0.297844718,70,0,1,1,0,6
4.403193285,-1.593473104,0.311361457,699,0,1,1,0,0
5.493427426,-1.899727546,0.143711837,67,0,1,2,2,3
5.493427426,-1.899727546,0.143711837,67,0,1,2,2,0
3.526750291,-1.470137779,0.199283939,65,0,1,2,7,3
3.526750291,-1.470137779,0.199283939,65,0,1,2,7,0
4.389482765,-1.649221485,0.17891361,132,0,1,2,0,3
4.876808239,-1.678193391,0.305668253,80,0,1,2,0,5
4.849638909,-1.721282054,0.245007688,212,0,1,2,0,0
5.768058752,-1.761156677,0.169781179,35,0,1,3,1,3
5.768058752,-1.761156677,0.169781179,35,0,1,3,1,0
5.86626144,-2.009798998,0.172900788,56,0,1,3,11,1
5.058827382,-1.452892869,0.074473662,10,0,1,3,11,2
4.403992574,-1.627811021,0.346256092,93,0,1,3,11,3
3.386972768,-1.412669808,0.270774731,44,0,1,3,11,6
5.058914403,-1.432398261,0.276247116,12,0,1,3,11,7
4.721576567,-1.676215524,0.364450203,215,0,1,3,11,0
5.427690191,-1.744622977,0.148317585,40,0,1,3,6,3
5.427690191,-1.744622977,0.148317585,40,0,1,3,6,0
5.86626144,-2.009798998,0.172900788,56,0,1,3,0,1
5.058827382,-1.452892869,0.074473662,10,0,1,3,0,2
5.201142748,-1.739644571,0.309642578,168,0,1,3,0,3
3.386972768,-1.412669808,0.270774731,44,0,1,3,0,6
5.058914403,-1.432398261,0.276247116,12,0,1,3,0,7
4.852631601,-1.675288885,0.3470703,290,0,1,3,0,0
5.768058752,-1.761156677,0.169781179,35,0,1,0,1,3
5.768058752,-1.761156677,0.169781179,35,0,1,0,1,0
5.86626144,-2.009798998,0.172900788,56,0,1,0,11,1
5.058827382,-1.452892869,0.074473662,10,0,1,0,11,2
4.403992574,-1.627811021,0.346256092,93,0,1,0,11,3
3.386972768,-1.412669808,0.270774731,44,0,1,0,11,6
5.058914403,-1.432398261,0.276247116,12,0,1,0,11,7
4.721576567,-1.676215524,0.364450203,215,0,1,0,11,0
